Student_ID,Age,Gender,Marital_Status,Course_Chosen,Application_Mode,Residence_Location,Parental_Education,Parental_Income_Level,Employment_Status,Semester_Enrolled_Units,Semester_Credited_Units,Semester_Evaluated_Units,Semester_Approved_Units,Semester_Average_Grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year,GPA,Attendance,Assignment_Score,Course_Failures,LMS_Activity,Credit_Load
STUD_1061,33,Other,Single,Management,In-person,Suburban,Bachelor,51808,Employed,3,3,2,1,2.74,1,5.6,3.5,38320,2023,3.32,59,77.1,5,648,20
STUD_1062,28,Male,Married,Agronomy,Online,Urban,Master,124677,Employed,7,3,7,3,2.19,1,4.1,2.3,37055,2021,3.88,83,80.4,5,500,21
STUD_1063,33,Female,Married,Engineering,Online,Rural,Master,57094,Part-time,4,2,3,0,1.56,1,4.8,3.1,33298,2022,3.82,67,60.0,5,6,12
STUD_1064,31,Other,Married,Engineering,Online,Urban,PhD,72473,Employed,6,2,3,2,4.0,1,5.4,2.2,35564,2021,4.03,92,89.8,4,535,19
STUD_1065,30,Other,Widowed,Engineering,Online,Rural,High School,128032,Part-time,3,2,3,0,3.59,0,4.2,3.2,30467,2022,4.86,73,92.3,0,924,23
STUD_1066,29,Female,Widowed,Agronomy,In-person,Rural,Bachelor,41159,Part-time,6,2,5,2,3.12,0,4.7,2.3,26205,2021,1.77,66,92.6,2,474,18
STUD_1067,19,Other,Married,Agronomy,Online,Rural,High School,69940,Part-time,2,2,2,2,3.89,0,4.8,3.0,35624,2022,2.42,87,75.8,5,800,13
STUD_1068,23,Male,Widowed,Agronomy,Online,Suburban,High School,91614,Unemployed,6,6,4,2,2.79,0,4.0,2.2,20404,2021,4.11,100,92.6,3,304,20
STUD_1069,29,Female,Single,Engineering,Online,Rural,High School,137956,Part-time,3,2,3,2,1.24,1,5.8,2.8,32432,2023,4.83,60,45.3,1,910,15
STUD_1070,25,Other,Single,Management,In-person,Suburban,Master,146372,Part-time,5,5,5,4,2.4,1,4.1,2.1,34910,2021,1.54,51,71.1,1,665,23
STUD_1071,30,Female,Married,Management,In-person,Suburban,Bachelor,107189,Employed,3,2,2,0,1.79,1,5.7,3.1,35628,2023,4.78,100,60.7,2,61,12
STUD_1072,31,Female,Married,Agronomy,Online,Suburban,PhD,64479,Unemployed,2,2,2,1,1.79,1,5.9,3.6,27319,2022,2.02,67,67.3,1,50,12
STUD_1073,20,Female,Married,Engineering,Online,Rural,PhD,112515,Employed,2,2,2,2,2.84,0,4.4,3.7,27880,2023,2.5,93,61.5,4,89,23
STUD_1074,30,Female,Widowed,Journalism,Online,Rural,Master,60440,Employed,4,3,4,3,3.12,1,5.8,2.5,32712,2021,2.21,54,93.3,1,190,24
STUD_1075,34,Other,Married,Agronomy,Online,Suburban,Master,31907,Part-time,3,3,3,2,3.57,1,5.8,2.4,34280,2022,2.06,63,53.3,0,996,15
STUD_1076,30,Other,Single,Engineering,Online,Suburban,Bachelor,123128,Unemployed,5,2,2,0,1.11,1,4.5,3.7,20134,2021,3.79,93,73.5,2,446,19
STUD_1077,22,Other,Single,Management,Online,Suburban,High School,26685,Employed,4,2,2,2,3.9,1,4.2,3.8,33432,2022,2.75,68,40.3,2,659,20
STUD_1078,21,Female,Married,Agronomy,Online,Suburban,High School,24102,Part-time,4,2,3,0,3.91,1,4.8,2.9,23745,2021,1.98,77,84.4,4,349,15
STUD_1079,22,Other,Widowed,Agronomy,Online,Suburban,High School,128740,Unemployed,6,2,6,0,3.02,1,4.8,3.6,28204,2021,3.86,74,56.7,1,1000,18
STUD_1080,30,Other,Married,Agronomy,In-person,Rural,High School,118634,Part-time,4,2,2,0,2.12,1,6.0,2.5,35055,2022,4.99,75,89.4,1,465,23
STUD_1081,21,Other,Single,Management,Online,Rural,PhD,121466,Unemployed,2,2,2,0,3.67,0,4.1,3.2,20505,2021,3.52,93,49.7,0,469,14
STUD_1082,24,Female,Widowed,Agronomy,In-person,Suburban,PhD,109821,Part-time,3,2,2,1,1.9,1,5.8,3.6,37748,2023,3.86,87,53.4,4,602,22
STUD_1083,24,Other,Married,Engineering,Online,Urban,PhD,43690,Part-time,7,4,6,1,3.88,1,4.1,4.0,21494,2023,4.85,78,61.0,2,740,16
STUD_1084,20,Female,Single,Engineering,Online,Suburban,Master,141648,Unemployed,2,2,2,1,3.77,0,4.9,2.9,28985,2021,2.99,50,99.8,3,103,12
STUD_1085,34,Other,Single,Management,Online,Suburban,PhD,85146,Part-time,2,2,2,1,3.32,0,5.9,2.8,39775,2022,4.09,81,53.2,1,953,16
STUD_1086,30,Female,Married,Agronomy,In-person,Suburban,High School,130319,Employed,5,5,5,5,3.24,1,4.4,2.8,30522,2022,4.83,62,94.9,5,598,18
STUD_1087,28,Female,Married,Agronomy,In-person,Suburban,Bachelor,73224,Part-time,4,2,3,2,3.38,1,4.5,2.2,22048,2023,1.54,71,92.1,4,777,15
STUD_1088,27,Female,Single,Agronomy,In-person,Suburban,Master,135645,Unemployed,5,5,2,3,1.33,0,5.6,3.8,36640,2021,4.77,61,66.4,1,747,14
STUD_1089,29,Other,Single,Journalism,Online,Urban,High School,67314,Part-time,6,5,6,3,1.32,1,4.6,2.1,30981,2023,4.54,63,74.9,3,710,14
STUD_1090,32,Male,Widowed,Journalism,Online,Urban,Master,104161,Part-time,7,6,3,0,3.28,1,6.0,3.3,38271,2021,2.88,61,76.0,5,22,12
STUD_1091,19,Female,Married,Journalism,In-person,Rural,PhD,64650,Part-time,7,6,4,5,1.6,0,5.4,3.1,21423,2023,3.74,97,49.9,4,147,22
STUD_1092,32,Male,Single,Journalism,In-person,Urban,High School,104996,Part-time,6,4,5,2,2.5,1,4.8,2.4,22517,2022,1.74,56,64.6,5,984,22
STUD_1093,26,Female,Married,Journalism,Online,Urban,High School,28213,Unemployed,6,5,6,2,3.74,1,4.5,2.7,26716,2021,4.15,54,56.1,5,995,12
STUD_1094,32,Female,Single,Management,In-person,Suburban,Master,134090,Unemployed,2,2,2,2,3.91,1,4.1,3.9,38299,2022,4.19,55,40.1,4,171,20
STUD_1095,23,Male,Single,Management,In-person,Rural,Bachelor,50587,Part-time,5,2,2,0,1.24,1,4.6,3.5,25725,2022,1.59,96,42.4,1,256,13
STUD_1096,20,Other,Single,Agronomy,In-person,Urban,PhD,135554,Employed,3,3,3,1,3.2,1,5.1,2.2,28469,2022,3.82,55,45.0,1,145,13
STUD_1097,18,Male,Widowed,Agronomy,Online,Suburban,High School,110190,Employed,4,3,2,0,2.69,1,4.9,3.0,24967,2021,3.83,72,93.7,4,674,17
STUD_1098,20,Female,Widowed,Management,Online,Urban,Bachelor,146883,Part-time,4,2,4,0,1.51,1,4.6,3.1,34641,2023,2.38,65,88.0,0,359,23
STUD_1099,26,Other,Widowed,Engineering,In-person,Suburban,Bachelor,125587,Employed,6,2,2,2,2.66,1,5.2,2.8,20975,2022,3.56,88,96.2,3,99,20
STUD_1100,21,Male,Married,Journalism,Online,Rural,Bachelor,57424,Employed,2,2,2,0,3.56,1,5.3,3.0,20041,2021,1.22,90,65.0,0,156,12
STUD_1101,20,Male,Single,Agronomy,Online,Suburban,High School,55222,Unemployed,5,5,3,1,3.67,1,4.1,3.1,24346,2021,4.74,79,96.5,1,501,24
STUD_1102,23,Female,Married,Engineering,In-person,Urban,High School,74731,Unemployed,4,2,3,2,2.69,1,5.5,3.8,32044,2022,4.47,100,52.8,0,204,12
STUD_1103,22,Male,Married,Engineering,In-person,Urban,PhD,67520,Unemployed,7,7,5,4,1.72,0,5.9,3.6,24564,2023,3.49,66,51.7,2,614,23
STUD_1104,28,Other,Married,Engineering,In-person,Suburban,High School,57938,Part-time,6,6,4,6,1.11,1,5.3,2.6,31142,2022,4.83,94,42.4,3,362,23
STUD_1105,23,Female,Married,Engineering,Online,Rural,PhD,54683,Employed,6,2,2,0,3.81,1,4.6,2.2,37437,2023,3.04,51,66.9,2,415,21
STUD_1106,19,Other,Single,Journalism,In-person,Rural,High School,118524,Unemployed,2,2,2,0,2.75,0,4.8,2.2,39399,2023,1.25,89,62.1,0,200,23
STUD_1107,31,Female,Married,Management,In-person,Suburban,High School,125085,Unemployed,3,2,2,2,3.52,0,5.8,2.9,39702,2023,4.32,88,41.3,3,387,14
STUD_1108,22,Female,Widowed,Engineering,Online,Rural,Master,109006,Unemployed,6,4,6,3,3.9,0,5.3,3.1,25272,2022,3.89,88,73.0,1,852,23
STUD_1109,18,Other,Single,Agronomy,In-person,Suburban,Master,30591,Employed,2,2,2,2,3.01,0,4.1,3.7,37874,2023,3.14,56,74.5,3,681,15
STUD_1110,23,Male,Married,Agronomy,Online,Suburban,Master,148189,Unemployed,7,2,3,2,2.13,0,4.2,3.8,23374,2022,4.04,94,76.9,2,778,21
STUD_1111,32,Female,Single,Management,Online,Suburban,PhD,87259,Employed,7,7,6,2,2.91,1,4.4,2.9,29276,2023,3.49,97,52.3,1,703,17
STUD_1112,20,Other,Widowed,Agronomy,Online,Urban,PhD,75440,Unemployed,2,2,2,0,1.23,1,4.3,3.9,24780,2022,4.3,75,69.0,3,140,13
STUD_1113,20,Female,Married,Journalism,In-person,Urban,High School,109434,Employed,5,4,4,2,1.31,0,4.3,3.7,35545,2021,2.27,85,43.4,4,722,23
STUD_1114,19,Female,Single,Engineering,Online,Rural,Master,76048,Employed,2,2,2,0,3.49,1,4.7,3.1,34399,2022,2.13,95,62.6,5,937,24
STUD_1115,30,Other,Married,Management,In-person,Urban,High School,51517,Unemployed,4,2,3,0,1.62,1,5.4,3.0,30054,2021,3.08,57,83.1,0,214,24
STUD_1116,25,Female,Married,Journalism,Online,Rural,Bachelor,29431,Unemployed,7,3,2,0,1.93,1,4.5,2.5,36245,2022,1.53,63,48.7,1,262,19
STUD_1117,25,Female,Married,Journalism,Online,Suburban,High School,69048,Part-time,7,6,3,1,1.65,0,4.3,3.8,26535,2021,1.07,64,41.4,1,86,16
STUD_1118,32,Other,Widowed,Agronomy,In-person,Suburban,PhD,117345,Part-time,4,3,2,0,3.66,1,4.8,2.7,38415,2023,4.5,75,43.0,1,785,17
STUD_1119,26,Other,Single,Management,In-person,Urban,Bachelor,119137,Employed,3,3,3,2,1.47,0,5.7,3.0,39560,2023,3.48,59,61.5,4,979,21
STUD_1120,21,Male,Married,Agronomy,In-person,Urban,High School,133479,Part-time,3,2,3,2,3.11,1,5.0,2.5,32011,2022,2.87,54,74.9,1,947,19
STUD_1121,21,Female,Single,Agronomy,In-person,Urban,PhD,144127,Part-time,4,4,3,4,2.11,0,4.8,3.5,33784,2021,4.51,60,69.5,0,370,17
STUD_1122,30,Male,Single,Management,In-person,Urban,PhD,46080,Part-time,5,3,2,1,1.9,1,4.3,2.3,38681,2021,1.97,72,67.5,0,431,15
STUD_1123,26,Female,Married,Agronomy,In-person,Suburban,Master,29637,Employed,7,3,7,1,3.48,1,5.1,3.7,39093,2021,3.06,86,54.2,3,691,18
STUD_1124,32,Male,Widowed,Management,Online,Suburban,Master,20194,Unemployed,4,4,4,1,2.32,0,5.2,3.9,35094,2021,2.84,60,60.1,5,36,16
STUD_1125,34,Female,Widowed,Management,Online,Urban,Master,90182,Unemployed,4,3,2,1,3.53,1,5.5,2.1,34928,2022,1.4,66,43.7,4,743,16
STUD_1126,29,Female,Widowed,Management,Online,Rural,Bachelor,142111,Unemployed,4,2,3,1,3.85,1,4.8,3.3,26592,2021,1.38,92,69.2,0,357,18
STUD_1127,23,Female,Widowed,Management,Online,Suburban,Master,142964,Employed,6,2,4,1,2.55,0,4.3,3.1,30895,2022,1.61,91,56.7,1,766,17
STUD_1128,31,Male,Widowed,Management,In-person,Suburban,High School,60598,Unemployed,6,6,6,0,1.14,1,4.7,2.2,22363,2021,1.03,75,91.4,2,109,18
STUD_1129,22,Male,Single,Agronomy,Online,Urban,Master,142441,Part-time,6,5,2,3,2.98,0,4.8,2.8,27677,2023,2.67,69,83.7,4,682,14
STUD_1130,32,Other,Married,Journalism,In-person,Urban,Bachelor,25582,Unemployed,2,2,2,0,2.56,1,4.5,3.1,33780,2021,2.39,51,75.3,1,246,17
STUD_1131,25,Male,Single,Engineering,Online,Urban,High School,70462,Part-time,2,2,2,0,2.84,1,4.7,2.4,23890,2021,2.14,75,85.5,1,397,14
STUD_1132,19,Female,Widowed,Agronomy,In-person,Urban,Master,47715,Employed,7,7,6,4,1.35,1,5.8,3.8,27547,2023,1.87,82,43.1,4,364,24
STUD_1133,23,Other,Widowed,Agronomy,Online,Urban,High School,29048,Part-time,5,3,3,3,3.94,1,6.0,3.9,23631,2022,2.92,76,49.9,4,694,16
STUD_1134,28,Female,Married,Agronomy,Online,Urban,PhD,82150,Employed,2,2,2,0,1.25,1,4.4,2.4,30035,2022,1.27,88,65.5,0,519,15
STUD_1135,23,Other,Widowed,Engineering,Online,Suburban,Bachelor,26418,Unemployed,7,5,2,0,1.35,1,4.9,3.8,32840,2021,3.24,96,46.3,3,963,19
STUD_1136,22,Female,Single,Management,In-person,Suburban,Bachelor,145304,Part-time,6,2,2,0,2.41,1,4.2,2.6,32888,2021,2.74,56,74.3,3,316,20
STUD_1137,31,Other,Married,Management,In-person,Suburban,PhD,95275,Part-time,2,2,2,1,2.51,0,4.6,3.9,35492,2021,2.37,85,60.5,5,938,16
STUD_1138,27,Other,Married,Engineering,Online,Rural,Bachelor,75415,Unemployed,7,6,6,3,3.36,0,5.5,2.8,20924,2022,1.97,92,49.4,4,737,15
STUD_1139,24,Other,Widowed,Journalism,Online,Rural,High School,102159,Employed,7,2,2,1,2.6,1,5.2,2.2,23042,2022,3.41,59,68.4,4,114,23
STUD_1140,27,Other,Widowed,Journalism,In-person,Rural,PhD,22620,Part-time,3,2,3,1,1.14,1,4.4,2.7,38400,2023,2.13,98,72.8,2,279,13
STUD_1141,24,Male,Widowed,Journalism,Online,Rural,Bachelor,149653,Unemployed,4,4,4,2,3.02,1,5.4,2.1,39931,2022,2.46,83,97.1,2,641,18
STUD_1142,34,Male,Married,Agronomy,Online,Rural,Master,125394,Part-time,2,2,2,1,3.85,1,5.0,2.6,37086,2021,1.61,99,45.9,3,598,24
STUD_1143,22,Other,Single,Journalism,In-person,Urban,Master,63155,Part-time,4,2,2,2,1.14,1,4.6,3.9,29195,2023,1.96,88,79.6,5,952,18
STUD_1144,27,Female,Widowed,Agronomy,Online,Rural,Bachelor,59944,Unemployed,3,2,3,1,1.95,1,5.8,3.7,34489,2022,2.87,82,53.0,1,822,19
STUD_1145,32,Male,Widowed,Agronomy,Online,Urban,High School,83524,Employed,3,2,3,2,3.55,1,5.1,2.4,21908,2023,2.21,82,95.7,2,491,24
STUD_1146,19,Male,Single,Engineering,Online,Suburban,PhD,140330,Part-time,4,4,2,3,1.64,1,4.8,3.7,34676,2023,2.34,85,61.6,1,98,18
STUD_1147,18,Female,Married,Engineering,Online,Suburban,High School,86009,Employed,2,2,2,1,2.23,0,5.6,3.7,32839,2022,4.37,64,45.5,5,348,21
STUD_1148,28,Other,Widowed,Engineering,In-person,Rural,Master,143053,Unemployed,4,4,2,0,2.17,0,5.2,2.6,30669,2021,4.47,57,84.6,1,535,12
STUD_1149,31,Male,Widowed,Engineering,Online,Rural,Bachelor,85317,Part-time,2,2,2,0,1.14,1,5.9,3.3,24741,2022,3.35,88,45.8,5,647,12
STUD_1150,29,Male,Widowed,Journalism,In-person,Rural,Master,86598,Part-time,5,5,2,4,3.42,0,4.6,2.7,34948,2022,2.74,100,51.6,1,82,12
STUD_1151,21,Female,Married,Management,Online,Rural,Bachelor,85683,Unemployed,3,2,3,1,2.61,1,6.0,3.4,25388,2021,2.3,56,99.7,5,314,17
STUD_1152,31,Female,Married,Management,In-person,Urban,High School,22916,Unemployed,3,3,2,3,3.51,1,5.7,3.0,20850,2021,3.58,66,89.9,1,25,21
STUD_1153,20,Female,Widowed,Management,In-person,Rural,Master,51207,Unemployed,4,4,4,1,1.37,1,5.7,2.9,20588,2021,4.29,78,85.2,2,313,23
STUD_1154,23,Female,Single,Journalism,In-person,Rural,Bachelor,134259,Unemployed,5,5,4,5,2.06,0,5.8,2.9,22615,2023,3.24,63,41.5,0,723,22
STUD_1155,25,Male,Married,Journalism,Online,Rural,Master,38230,Employed,6,3,3,1,1.44,0,4.8,3.0,29727,2021,2.68,75,89.0,0,961,20
STUD_1156,28,Female,Widowed,Journalism,Online,Urban,PhD,115038,Employed,6,3,3,3,1.83,1,4.6,3.3,25265,2023,1.53,79,73.7,0,653,17
STUD_1157,27,Male,Widowed,Engineering,Online,Suburban,High School,138217,Employed,4,2,4,1,3.54,1,5.5,2.2,33040,2023,1.8,51,45.2,2,384,14
STUD_1158,25,Female,Married,Journalism,Online,Rural,PhD,91640,Unemployed,2,2,2,2,2.59,0,5.1,3.0,38084,2023,3.34,94,43.1,0,985,20
STUD_1159,23,Male,Married,Engineering,In-person,Rural,Master,40477,Part-time,6,6,6,6,1.07,1,4.2,2.8,20018,2022,3.97,50,59.4,5,483,17
STUD_1160,30,Male,Widowed,Journalism,In-person,Urban,High School,75019,Employed,5,5,3,0,3.43,1,5.5,2.6,20154,2021,3.26,61,50.2,4,186,22
